PW_MODEL_PW2281S_20_6 ,,
Capacity=0.8114AH,,
SOC(%), Open Voltage(V), ESR(ohm)
0,0.799616158,1.441173077
1,0.877276957,1.307088852
2,0.924137175,1.223232269
3,0.956328988,1.097161293
4,0.979998052,1.129246712
5,0.998947859,1.117821693
6,1.014129758,1.08381176
7,1.027683735,1.06043911
8,1.039003968,1.165904045
9,1.049511671,1.148628235
10,1.058845639,1.090666771
11,1.067588449,1.085237503
12,1.075814128,1.062717438
13,1.08308804,1.076620102
14,1.089619637,1.069597244
15,1.095648885,1.058395386
16,1.101563573,1.031880379
17,1.107230902,0.984600067
18,1.112291455,0.97892189
19,1.117246628,0.975095749
20,1.121952653,0.976531982
21,1.126369,0.977276802
22,1.130583167,0.974144936
23,1.134788752,0.970139503
24,1.138893604,0.969918251
25,1.142908692,0.968687058
26,1.146977663,0.969815254
27,1.150765777,0.976600647
28,1.154463053,0.979984283
29,1.158066034,0.981664658
30,1.161787987,0.981001854
31,1.16514802,0.981089592
32,1.168332219,0.982113838
33,1.171619654,0.984833717
34,1.175128698,0.985800743
35,1.178292513,0.9867239
36,1.181332827,0.985724449
37,1.184208393,0.98547554
38,1.187041521,0.980308533
39,1.189912796,0.977490425
40,1.192804217,0.976392746
41,1.195711374,0.977963448
42,1.198742151,0.971554756
43,1.201519609,0.974327087
44,1.20444262,0.974510193
45,1.207385898,0.969211578
46,1.210441589,0.966230392
47,1.213363051,0.968891144
48,1.216342568,0.969679832
49,1.219405055,0.968149185
50,1.222527146,0.970306396
51,1.225778937,0.964010239
52,1.228907943,0.967074394
53,1.232120991,0.967065811
54,1.235365868,0.963518143
55,1.238511443,0.966264725
56,1.241568327,0.963573456
57,1.24459219,0.963626862
58,1.24770546,0.967201233
59,1.251061201,0.967655182
60,1.254178762,0.965888977
61,1.257364631,0.965595245
62,1.260612249,0.964700699
63,1.263945699,0.960712433
64,1.26734817,0.968698502
65,1.270858645,0.91633606
66,1.274421692,0.917619705
67,1.278230667,0.918128967
68,1.281969309,0.919610977
69,1.285781026,0.920118332
70,1.289615035,0.916872025
71,1.293655992,0.90959549
72,1.297661424,0.91724205
73,1.301854849,0.908847809
74,1.306200266,0.907699585
75,1.310551167,0.905641556
76,1.315077901,0.907001495
77,1.319554687,0.907312393
78,1.323979139,0.907094955
79,1.328493238,0.908489227
80,1.333248019,0.911535263
81,1.337665319,0.879642487
82,1.342136622,0.882825851
83,1.346678376,0.872760773
84,1.351610065,1.361288071
85,1.356422782,1.356647492
86,1.361350536,1.350542069
87,1.366564274,1.350076675
88,1.372448444,1.344236374
89,1.378650785,1.339824677
90,1.385554075,1.331787109
91,1.393227458,1.331365585
92,1.40214932,1.334928513
93,1.411665678,1.32742691
94,1.422282457,1.329278946
95,1.434371829,1.292074204
96,1.448869824,1.287273407
97,1.465159535,1.288110733
98,1.48487246,1.29454422
99,1.51069653,0.821681976
100,1.56419611,0.836284637
