PW_MODEL_PW2281S_20_6 ,,
Capacity=0.8114AH,,
SOC(%), Open Voltage(V), ESR(ohm)
0,2.398848474,4.323519231
1,2.631830871,3.921266556
2,2.772411525,3.669696807
3,2.868986964,3.291483879
4,2.939994156,3.387740136
5,2.996843577,3.353465079
6,3.042389274,3.25143528
7,3.083051205,3.18131733
8,3.117011904,3.497712135
9,3.148535013,3.445884705
10,3.176536917,3.272000313
11,3.202765347,3.255712509
12,3.227442384,3.188152314
13,3.24926412,3.229860306
14,3.268858911,3.208791732
15,3.286946655,3.175186158
16,3.304690719,3.095641137
17,3.321692706,2.953800201
18,3.336874365,2.93676567
19,3.351739884,2.925287247
20,3.365857959,2.929595946
21,3.379107,2.931830406
22,3.391749501,2.922434808
23,3.404366256,2.910418509
24,3.416680812,2.909754753
25,3.428726076,2.906061174
26,3.440932989,2.909445762
27,3.452297331,2.929801941
28,3.463389159,2.939952849
29,3.474198102,2.944993974
30,3.485363961,2.943005562
31,3.49544406,2.943268776
32,3.504996657,2.946341514
33,3.514858962,2.954501151
34,3.525386094,2.957402229
35,3.534877539,2.9601717
36,3.543998481,2.957173347
37,3.552625179,2.95642662
38,3.561124563,2.940925599
39,3.569738388,2.932471275
40,3.578412651,2.929178238
41,3.587134122,2.933890344
42,3.596226453,2.914664268
43,3.604558827,2.922981261
44,3.61332786,2.923530579
45,3.622157694,2.907634734
46,3.631324767,2.898691176
47,3.640089153,2.906673432
48,3.649027704,2.909039496
49,3.658215165,2.904447555
50,3.667581438,2.910919188
51,3.677336811,2.892030717
52,3.686723829,2.901223182
53,3.696362973,2.901197433
54,3.706097604,2.890554429
55,3.715534329,2.898794175
56,3.724704981,2.890720368
57,3.73377657,2.890880586
58,3.74311638,2.901603699
59,3.753183603,2.902965546
60,3.762536286,2.897666931
61,3.772093893,2.896785735
62,3.781836747,2.894102097
63,3.791837097,2.882137299
64,3.80204451,2.906095506
65,3.812575935,2.74900818
66,3.823265076,2.752859115
67,3.834692001,2.754386901
68,3.845907927,2.758832931
69,3.857343078,2.760354996
70,3.868845105,2.750616075
71,3.880967976,2.72878647
72,3.892984272,2.75172615
73,3.905564547,2.726543427
74,3.918600798,2.723098755
75,3.931653501,2.716924668
76,3.945233703,2.721004485
77,3.958664061,2.721937179
78,3.971937417,2.721284865
79,3.985479714,2.725467681
80,3.999744057,2.734605789
81,4.012995957,2.638927461
82,4.026409866,2.648477553
83,4.040035128,2.618282319
84,4.054830195,4.083864213
85,4.069268346,4.069942476
86,4.084051608,4.051626207
87,4.099692822,4.050230025
88,4.117345332,4.032709122
89,4.135952355,4.019474031
90,4.156662225,3.995361327
91,4.179682374,3.994096755
92,4.20644796,4.004785539
93,4.234997034,3.98228073
94,4.266847371,3.987836838
95,4.303115487,3.876222612
96,4.346609472,3.861820221
97,4.395478605,3.864332199
98,4.45461738,3.88363266
99,4.53208959,2.465045928
100,4.69258833,2.508853911
