PW_MODEL_PW2281S_20_6 ,,
Capacity=1.6746AH,,
SOC(%), Open Voltage(V), ESR(ohm)
0,1.089660645,3.540547689
1,1.235458374,1.12101237
2,1.315479279,0.797907511
3,1.384815216,0.688680013
4,1.487827301,0.584030151
5,1.593097687,0.518544515
6,1.711994171,0.486882528
7,1.84444809,0.466664632
8,1.992580414,0.439707438
9,2.111915588,0.410715739
10,2.207077026,0.397491455
11,2.281246185,0.390497843
12,2.343975067,0.38579305
13,2.394714356,0.382232666
14,2.439369202,0.377527873
15,2.476593018,0.373713175
16,2.515449524,0.356292725
17,2.542182922,0.348917643
18,2.566360474,0.345738729
19,2.587310791,0.343577067
20,2.60736084,0.341796875
21,2.625286102,0.340652466
22,2.642589569,0.33899943
23,2.658000946,0.338490804
24,2.673427582,0.337219238
25,2.687473297,0.336329142
26,2.701400757,0.334803263
27,2.714252472,0.333150228
28,2.726783752,0.331242879
29,2.738204956,0.331115723
30,2.74961853,0.330352783
31,2.760990143,0.327936808
32,2.773494721,0.317382813
33,2.782833099,0.314839681
34,2.791969299,0.313186646
35,2.800525665,0.312678019
36,2.809425354,0.310770671
37,2.817428589,0.309880575
38,2.82559967,0.308736165
39,2.83310318,0.307210286
40,2.840522766,0.305938721
41,2.847206116,0.305048625
42,2.853824616,0.304158529
43,2.859851837,0.30263265
44,2.865528107,0.301488241
45,2.870441437,0.300470988
46,2.8748703,0.300089518
47,2.878833771,0.299708049
48,2.882453919,0.298945109
49,2.885704041,0.298945109
50,2.888629913,0.298690796
51,2.891105652,0.298817952
52,2.893489838,0.298945109
53,2.8959198,0.299199422
54,2.89837265,0.298563639
55,2.900432587,0.297292074
56,2.90190506,0.2978007
57,2.90303421,0.298690796
58,2.904518127,0.299453735
59,2.905849457,0.298817952
60,2.906856537,0.299199422
61,2.907894135,0.299580892
62,2.908412933,0.300343831
63,2.909469605,0.300216675
64,2.910217285,0.299708049
65,2.910697937,0.300470988
66,2.910694122,0.301361084
67,2.910762787,0.302124023
68,2.911102295,0.302378337
69,2.911586762,0.30225118
70,2.912025452,0.30186971
71,2.912330627,0.301742554
72,2.912567139,0.301361084
73,2.912670136,0.301233927
74,2.912647247,0.301233927
75,2.912559509,0.300979614
76,2.912303925,0.300725301
77,2.911914825,0.300470988
78,2.911373138,0.300089518
79,2.910663605,0.300089518
80,2.909713745,0.300216675
81,2.908390045,0.300470988
82,2.90701294,0.301361084
83,2.906761169,0.299708049
84,2.905704498,0.299072266
85,2.904994965,0.297673543
86,2.903743744,0.29703776
87,2.903091431,0.296147664
88,2.902645111,0.294367472
89,2.901554108,0.293986003
90,2.900291443,0.294240316
91,2.899082184,0.294240316
92,2.898471832,0.294494629
93,2.898075104,0.294494629
94,2.897651672,0.294621785
95,2.896781921,0.296020508
96,2.896034241,0.296020508
97,2.894309998,0.29818217
98,2.892936707,0.301996867
99,2.913314819,0.303141276
100,3.243354797,0.31560262
