SOC,OCV,ESR
0,1.999696255,354.2108536
1,2.139950752,359.5900536
2,2.236871958,363.6701107
3,2.306509256,366.6741848
4,2.357600212,375.6122589
5,2.397651911,378.5591126
6,2.430196047,375.6680489
7,2.457161427,371.945858
8,2.481330872,364.4475937
9,2.50032568,360.3892326
10,2.516843319,356.2815189
11,2.532185555,350.4877091
12,2.545902252,345.7233906
13,2.558918238,338.8850689
14,2.571316242,330.7459354
15,2.582914591,322.2928047
16,2.594208002,311.1073971
17,2.604566813,299.6406555
18,2.614124298,287.7216339
19,2.623269081,273.6091614
20,2.631803989,259.89151
21,2.639894009,245.2216148
22,2.647379398,231.6889763
23,2.654031992,213.9081955
24,2.660068512,195.1751709
25,2.665120125,175.4074097
26,2.669303894,157.7811241
27,2.673309565,138.7915611
28,2.677219391,121.96064
29,2.680785418,106.5549851
30,2.684626341,93.07050705
31,2.688737631,79.37049866
32,2.693499327,67.11673737
33,2.698404551,57.83224106
34,2.703810215,50.26721954
35,2.708945513,44.50321198
36,2.714000464,39.66569901
37,2.719082832,35.84432602
38,2.723977089,32.86600113
39,2.728461504,30.21860123
40,2.732956171,28.07283402
41,2.737390518,26.22556686
42,2.741792917,24.65295792
43,2.7453022,23.29158783
44,2.749190569,22.25971222
45,2.752596617,21.00753784
46,2.756383181,19.8225975
47,2.760141611,18.20039749
48,2.763577461,17.6820755
49,2.766395807,17.26293564
50,2.769042969,16.98732376
51,2.771605015,16.78323746
52,2.773841381,16.67833328
53,2.776061535,16.53528214
54,2.77819562,16.55101776
55,2.780388117,16.3526535
56,2.782834053,16.17670059
57,2.784974098,16.26491547
58,2.787345886,16.1819458
59,2.789427519,16.27016068
60,2.792442083,16.14332199
61,2.795524597,15.87867737
62,2.799046516,15.78521729
63,2.802269936,15.71846008
64,2.80569768,15.52581787
65,2.809395552,15.27690888
66,2.812690973,15.11192322
67,2.815970182,14.94598389
68,2.819031,14.83011246
69,2.821052074,14.75334168
70,2.823310614,14.60409164
71,2.824841261,14.67084885
72,2.826663971,14.71471787
73,2.828988552,14.56594467
74,2.831313133,14.46628571
75,2.833169222,14.38951492
76,2.834903717,14.2621994
77,2.83655262,14.14632797
78,2.837509632,14.02521133
79,2.838218212,14.00852203
80,2.839779139,13.92602921
81,2.841568947,13.80968094
82,2.843361378,13.56744766
83,2.84512043,13.46254349
84,2.846626282,13.11540604
85,2.848176003,12.76826859
86,2.849935532,12.62998581
87,2.851512671,12.3758316
88,2.853167057,12.155056
89,2.855309963,12.0177269
90,2.857193232,11.50465012
91,2.858169556,11.22951508
92,2.857802868,11.2452507
93,2.855839491,11.14082336
94,2.853649855,10.93101502
95,2.851416111,10.64443588
96,2.84710598,10.75458527
97,2.84305501,10.88142395
98,2.847467184,10.48994064
99,2.888529301,10.02120972
100,3.246967316,15.54679871
