PW_MODEL_PW2281S_20_6
Capacity=1.526AH
SOC(%),Open Voltage(V),ESR(ohm)
0,2.600,0.345
1,2.982,0.326
2,3.072,0.292
3,3.130,0.289
4,3.174,0.288
5,3.210,0.287
6,3.237,0.286
7,3.247,0.286
8,3.250,0.285
9,3.252,0.285
10,3.255,0.285
11,3.258,0.284
12,3.261,0.283
13,3.266,0.282
14,3.271,0.282
15,3.277,0.281
16,3.283,0.281
17,3.290,0.281
18,3.296,0.280
19,3.301,0.280
20,3.306,0.280
21,3.311,0.278
22,3.315,0.277
23,3.319,0.276
24,3.324,0.275
25,3.328,0.275
26,3.332,0.274
27,3.334,0.274
28,3.337,0.273
29,3.339,0.273
30,3.340,0.273
31,3.341,0.274
32,3.342,0.275
33,3.342,0.275
34,3.343,0.275
35,3.343,0.275
36,3.343,0.275
37,3.344,0.275
38,3.344,0.276
39,3.344,0.276
40,3.345,0.276
41,3.345,0.275
42,3.346,0.275
43,3.346,0.274
44,3.347,0.273
45,3.347,0.272
46,3.347,0.272
47,3.348,0.271
48,3.349,0.271
49,3.349,0.270
50,3.350,0.270
51,3.351,0.269
52,3.351,0.269
53,3.352,0.269
54,3.353,0.268
55,3.354,0.268
56,3.355,0.268
57,3.356,0.267
58,3.358,0.267
59,3.359,0.267
60,3.361,0.267
61,3.363,0.267
62,3.365,0.267
63,3.368,0.267
64,3.371,0.267
65,3.374,0.266
66,3.377,0.266
67,3.380,0.266
68,3.382,0.265
69,3.384,0.265
70,3.385,0.265
71,3.385,0.265
72,3.386,0.265
73,3.387,0.264
74,3.388,0.264
75,3.388,0.264
76,3.389,0.264
77,3.390,0.264
78,3.391,0.264
79,3.392,0.263
80,3.393,0.263
81,3.394,0.263
82,3.395,0.263
83,3.396,0.263
84,3.398,0.263
85,3.399,0.263
86,3.401,0.263
87,3.403,0.263
88,3.405,0.263
89,3.407,0.263
90,3.410,0.263
91,3.413,0.262
92,3.417,0.262
93,3.422,0.262
94,3.427,0.262
95,3.434,0.262
96,3.444,0.262
97,3.458,0.262
98,3.483,0.262
99,3.536,0.262
100,3.600,0.256
