PW_MODEL_PW2281S_20_6 ,,
Capacity=1.4266AH,,
SOC(%), Open Voltage(V), ESR(ohm)
0,2.499507904,0.062255859
1,2.869823456,0.050964355
2,3.064868927,0.04989624
3,3.178718567,0.049133301
4,3.261390686,0.048675537
5,3.325977325,0.048522949
6,3.377826691,0.048522949
7,3.41979599,0.048217773
8,3.443710327,0.048294067
9,3.454704285,0.048065186
10,3.462268829,0.048217773
11,3.46837616,0.048065186
12,3.47367096,0.047988892
13,3.47844696,0.047683716
14,3.483097076,0.047683716
15,3.487915039,0.047531128
16,3.493839264,0.047454834
17,3.502101898,0.04737854
18,3.51203537,0.047302246
19,3.521705627,0.047225952
20,3.531745911,0.047225952
21,3.542049408,0.047073364
22,3.551044464,0.046920776
23,3.55871582,0.04699707
24,3.56590271,0.04699707
25,3.573169708,0.04699707
26,3.580169678,0.047073364
27,3.586639404,0.047225952
28,3.592422485,0.047149658
29,3.597560883,0.047149658
30,3.602161408,0.047225952
31,3.606468201,0.047073364
32,3.610591888,0.047073364
33,3.614582062,0.046920776
34,3.618614197,0.046920776
35,3.622695923,0.046768188
36,3.626869202,0.046768188
37,3.631130219,0.046920776
38,3.635574341,0.046615601
39,3.640205383,0.046691895
40,3.645030975,0.046691895
41,3.650123596,0.046310425
42,3.655479431,0.046691895
43,3.661109924,0.046463013
44,3.666992188,0.046386719
45,3.673233032,0.046310425
46,3.679794312,0.046310425
47,3.686634064,0.046386719
48,3.693897247,0.046157837
49,3.701499939,0.045928955
50,3.709331513,0.045928955
51,3.717483521,0.045852661
52,3.725841522,0.045700073
53,3.734354019,0.04573822
54,3.742866516,0.045700073
55,3.751443863,0.045700073
56,3.759929657,0.045509338
57,3.768180847,0.045547485
58,3.776292801,0.045394897
59,3.784223557,0.045394897
60,3.792041779,0.045394897
61,3.799755096,0.045318604
62,3.807655335,0.04524231
63,3.815725327,0.04535675
64,3.823879242,0.04524231
65,3.832237244,0.045318604
66,3.840579987,0.045280457
67,3.848773956,0.045394897
68,3.856615067,0.045204163
69,3.864219666,0.045318604
70,3.871555328,0.045166016
71,3.878587723,0.045318604
72,3.885368347,0.045127869
73,3.891679764,0.044975281
74,3.897619247,0.045089722
75,3.903600693,0.044975281
76,3.910339356,0.044822693
77,3.917909622,0.045127869
78,3.926080704,0.045166016
79,3.934894562,0.045166016
80,3.944164276,0.045127869
81,3.953773499,0.04524231
82,3.963523865,0.045204163
83,3.97347641,0.045204163
84,3.983406067,0.04535675
85,3.992994309,0.045661926
86,4.002113342,0.045547485
87,4.010400772,0.045585632
88,4.01764679,0.045661926
89,4.024002075,0.045585632
90,4.029531479,0.045852661
91,4.034420013,0.045928955
92,4.038936615,0.046005249
93,4.043529511,0.046081543
94,4.048585892,0.046157837
95,4.054283142,0.046157837
96,4.060838699,0.046234131
97,4.068305969,0.046195984
98,4.076795578,0.045928955
99,4.086399078,0.045051575
100,4.100133896,0.040664673
