PW_MODEL_PW2281S_20_6 ,,
Capacity=1.5147AH,,
SOC(%), Open Voltage(V), ESR(ohm)
0,0.999542236,0.034770966
1,1.059723377,0.032806396
2,1.090096235,0.03194809
3,1.107878923,0.031356812
4,1.120248318,0.031023026
5,1.129910231,0.030698776
6,1.137523174,0.030479431
7,1.143852234,0.03030777
8,1.149461031,0.030126572
9,1.154263258,0.029945374
10,1.158261776,0.029649734
11,1.162314892,0.029535294
12,1.165904284,0.029430389
13,1.169381619,0.029230118
14,1.172501564,0.029163361
15,1.175409079,0.029096603
16,1.178318024,0.029058456
17,1.180925131,0.028924942
18,1.183458805,0.028867722
19,1.185907841,0.028781891
20,1.18805027,0.028762817
21,1.190279961,0.02869606
22,1.192526579,0.028657913
23,1.194647789,0.028581619
24,1.196717501,0.028619766
25,1.198807478,0.028572083
26,1.200802565,0.028486252
27,1.202753067,0.028467178
28,1.204700232,0.028457642
29,1.206583023,0.028409958
30,1.208595991,0.028333664
31,1.210503101,0.02825737
32,1.212235928,0.02828598
33,1.213990927,0.02820015
34,1.215649843,0.028209686
35,1.217326164,0.028133392
36,1.219153166,0.028066635
37,1.220702171,0.028066635
38,1.222151756,0.028038025
39,1.223738432,0.027990341
40,1.225308657,0.0278759
41,1.226748705,0.027780533
42,1.22800374,0.027742386
43,1.229170561,0.027723312
44,1.230259895,0.027675629
45,1.231297016,0.027627945
46,1.232222557,0.027675629
47,1.233073235,0.027656555
48,1.233857393,0.027618408
49,1.234587908,0.027589798
50,1.235312462,0.027599335
51,1.235973835,0.027599335
52,1.236570358,0.027627945
53,1.237134457,0.027580261
54,1.237578154,0.027637482
55,1.238002539,0.027618408
56,1.238409758,0.027666092
57,1.238766909,0.027647018
58,1.239142656,0.027656555
59,1.239507675,0.027704239
60,1.239870071,0.027666092
61,1.240277052,0.027751923
62,1.240679741,0.027742386
63,1.241128683,0.027761459
64,1.241608858,0.027742386
65,1.242119074,0.027780533
66,1.242632389,0.027742386
67,1.243162632,0.027732849
68,1.243721485,0.027751923
69,1.24429369,0.027694702
70,1.244953156,0.027713776
71,1.24552083,0.027713776
72,1.246091604,0.027732849
73,1.246756315,0.027694702
74,1.247371435,0.027675629
75,1.247941494,0.027675629
76,1.248502016,0.027675629
77,1.249050856,0.027694702
78,1.249668598,0.027675629
79,1.250333786,0.027675629
80,1.250911951,0.027637482
81,1.251420975,0.027656555
82,1.251951933,0.027618408
83,1.25244379,0.027656555
84,1.252878189,0.027589798
85,1.253273487,0.027666092
86,1.253682613,0.027637482
87,1.254072428,0.027675629
88,1.254453182,0.027694702
89,1.254848719,0.027713776
90,1.25526309,0.027694702
91,1.255719423,0.027675629
92,1.25629735,0.027780533
93,1.257090092,0.027799606
94,1.258143425,0.027799606
95,1.259604216,0.027780533
96,1.26185894,0.027866364
97,1.265255213,0.027980804
98,1.270560026,0.027933121
99,1.279031515,0.028057098
100,1.291888952,0.027484894
