PW_MODEL_PW2281S_20_6,,
Capacity=0.916AH,,
SOC(%),Open Voltage(V),ESR(ohm)
0,2.85,0.819
1,3.162,0.732
2,3.225,0.723
3,3.255,0.72
4,3.273,0.717
5,3.288,0.717
6,3.3,0.714
7,3.315,0.711
8,3.327,0.708
9,3.339,0.705
10,3.351,0.705
11,3.36,0.702
12,3.372,0.702
13,3.381,0.699
14,3.39,0.696
15,3.396,0.696
16,3.405,0.696
17,3.411,0.693
18,3.417,0.693
19,3.426,0.693
20,3.432,0.69
21,3.438,0.69
22,3.441,0.69
23,3.447,0.687
24,3.453,0.687
25,3.459,0.687
26,3.462,0.687
27,3.468,0.687
28,3.471,0.684
29,3.477,0.684
30,3.48,0.684
31,3.486,0.684
32,3.489,0.684
33,3.492,0.684
34,3.498,0.684
35,3.501,0.681
36,3.504,0.681
37,3.507,0.681
38,3.51,0.681
39,3.513,0.681
40,3.516,0.681
41,3.519,0.681
42,3.522,0.681
43,3.525,0.681
44,3.528,0.678
45,3.531,0.678
46,3.534,0.678
47,3.537,0.678
48,3.537,0.678
49,3.54,0.678
50,3.543,0.678
51,3.546,0.678
52,3.549,0.675
53,3.552,0.675
54,3.552,0.675
55,3.555,0.675
56,3.558,0.675
57,3.561,0.672
58,3.564,0.672
59,3.567,0.672
60,3.57,0.672
61,3.573,0.672
62,3.576,0.672
63,3.579,0.672
64,3.582,0.672
65,3.585,0.672
66,3.588,0.672
67,3.591,0.672
68,3.597,0.672
69,3.6,0.672
70,3.603,0.669
71,3.606,0.669
72,3.612,0.669
73,3.615,0.669
74,3.621,0.669
75,3.624,0.669
76,3.63,0.669
77,3.636,0.669
78,3.642,0.669
79,3.648,0.669
80,3.654,0.669
81,3.663,0.669
82,3.669,0.669
83,3.678,0.669
84,3.687,0.669
85,3.699,0.669
86,3.708,0.672
87,3.723,0.672
88,3.735,0.672
89,3.75,0.672
90,3.765,0.672
91,3.783,0.675
92,3.801,0.675
93,3.816,0.675
94,3.834,0.678
95,3.849,0.678
96,3.858,0.678
97,3.867,0.675
98,3.873,0.675
99,3.876,0.675
100,3.879,0.675
