PW_MODEL_PW2281S_20_6 ,,
Capacity=1.5147AH,,
SOC(%), Open Voltage(V), ESR(ohm)
0,1.999084472,0.069541932
1,2.119446754,0.065612792
2,2.18019247,0.06389618
3,2.215757846,0.062713624
4,2.240496636,0.062046052
5,2.259820462,0.061397552
6,2.275046348,0.060958862
7,2.287704468,0.06061554
8,2.298922062,0.060253144
9,2.308526516,0.059890748
10,2.316523552,0.059299468
11,2.324629784,0.059070588
12,2.331808568,0.058860778
13,2.338763238,0.058460236
14,2.345003128,0.058326722
15,2.350818158,0.058193206
16,2.356636048,0.058116912
17,2.361850262,0.057849884
18,2.36691761,0.057735444
19,2.371815682,0.057563782
20,2.37610054,0.057525634
21,2.380559922,0.05739212
22,2.385053158,0.057315826
23,2.389295578,0.057163238
24,2.393435002,0.057239532
25,2.397614956,0.057144166
26,2.40160513,0.056972504
27,2.405506134,0.056934356
28,2.409400464,0.056915284
29,2.413166046,0.056819916
30,2.417191982,0.056667328
31,2.421006202,0.05651474
32,2.424471856,0.05657196
33,2.427981854,0.0564003
34,2.431299686,0.056419372
35,2.434652328,0.056266784
36,2.438306332,0.05613327
37,2.441404342,0.05613327
38,2.444303512,0.05607605
39,2.447476864,0.055980682
40,2.450617314,0.0557518
41,2.45349741,0.055561066
42,2.45600748,0.055484772
43,2.458341122,0.055446624
44,2.46051979,0.055351258
45,2.462594032,0.05525589
46,2.464445114,0.055351258
47,2.46614647,0.05531311
48,2.467714786,0.055236816
49,2.469175816,0.055179596
50,2.470624924,0.05519867
51,2.47194767,0.05519867
52,2.473140716,0.05525589
53,2.474268914,0.055160522
54,2.475156308,0.055274964
55,2.476005078,0.055236816
56,2.476819516,0.055332184
57,2.477533818,0.055294036
58,2.478285312,0.05531311
59,2.47901535,0.055408478
60,2.479740142,0.055332184
61,2.480554104,0.055503846
62,2.481359482,0.055484772
63,2.482257366,0.055522918
64,2.483217716,0.055484772
65,2.484238148,0.055561066
66,2.485264778,0.055484772
67,2.486325264,0.055465698
68,2.48744297,0.055503846
69,2.48858738,0.055389404
70,2.489906312,0.055427552
71,2.49104166,0.055427552
72,2.492183208,0.055465698
73,2.49351263,0.055389404
74,2.49474287,0.055351258
75,2.495882988,0.055351258
76,2.497004032,0.055351258
77,2.498101712,0.055389404
78,2.499337196,0.055351258
79,2.500667572,0.055351258
80,2.501823902,0.055274964
81,2.50284195,0.05531311
82,2.503903866,0.055236816
83,2.50488758,0.05531311
84,2.505756378,0.055179596
85,2.506546974,0.055332184
86,2.507365226,0.055274964
87,2.508144856,0.055351258
88,2.508906364,0.055389404
89,2.509697438,0.055427552
90,2.51052618,0.055389404
91,2.511438846,0.055351258
92,2.5125947,0.055561066
93,2.514180184,0.055599212
94,2.51628685,0.055599212
95,2.519208432,0.055561066
96,2.52371788,0.055732728
97,2.530510426,0.055961608
98,2.541120052,0.055866242
99,2.55806303,0.056114196
100,2.583777904,0.054969788
